   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
   C4C : telu-ausign                                       teAusign                 telu-ausign                             Telugu                                  TELUGU VOWEL SIGN AU
   CCC : knda-ausign                                       knAusign                 knda-ausign                             Kannada                                 KANNADA VOWEL SIGN AU
   D4C : mlym-ausign                                       mlAusign                 mlym-ausign                             Malayalam                               MALAYALAM VOWEL SIGN AU

   93D : deva-avagraha                                     dvAvagraha               deva-avagraha                           Devanagari                              DEVANAGARI SIGN AVAGRAHA
   9BD : beng-avagraha                                     beAvagraha               beng-avagraha                           Bengali                                 BENGALI SIGN AVAGRAHA
   ABD : gujr-avagraha                                     gjAvagraha               gujr-avagraha                           Gujarati                                GUJARATI SIGN AVAGRAHA
   B3D : orya-avagraha                                     odAvagraha               orya-avagraha                           Oriya                                   ORIYA SIGN AVAGRAHA 
   CBD : knda-avagraha                                     knAvagraha               knda-avagraha                           Kannada                                 KANNADA SIGN AVAGRAHA

   C3D : telu-avagrahasign                                 teAvagraha               telu-avagrahasign                       Telugu                                  TELUGU SIGN AVAGRAHA
   D3D : mlym-avagrahasign                                 mlAvagraha               mlym-avagrahasign                       Malayalam                               MALAYALAM SIGN AVAGRAHA

    62 : b                                                 b                        b                                       Basic Latin                             LATIN SMALL LETTER B
  3105 : bopo-b                                            bbopomofo                bopo-b                                  Bopomofo                                BOPOMOFO LETTER B   
  FF42 : fwd-b                                             bfullwidth               fwd-b                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN SMALL LETTER B

   92C : deva-ba                                           dvBa                     deva-ba                                 Devanagari                              DEVANAGARI LETTER BA
