# CJK Compatibility Ideographs F900 - FAFF
FA09	cjkcompatibilityideographfa09	CJK COMPATIBILITY IDEOGRAPH-FA09
FA0A	cjkcompatibilityideographfa0a	CJK COMPATIBILITY IDEOGRAPH-FA0A
FA0B	cjkcompatibilityideographfa0b	CJK COMPATIBILITY IDEOGRAPH-FA0B
FA0C	cjkcompatibilityideographfa0c	CJK COMPATIBILITY IDEOGRAPH-FA0C
FA0D	cjkcompatibilityideographfa0d	CJK COMPATIBILITY IDEOGRAPH-FA0D
FA0E	cjkcompatibilityideographfa0e	CJK COMPATIBILITY IDEOGRAPH-FA0E
FA0F	cjkcompatibilityideographfa0f	CJK COMPATIBILITY IDEOGRAPH-FA0F
FA10	cjkcompatibilityideographfa10	CJK COMPATIBILITY IDEOGRAPH-FA10
FA11	cjkcompatibilityideographfa11	CJK COMPATIBILITY IDEOGRAPH-FA11
FA12	cjkcompatibilityideographfa12	CJK COMPATIBILITY IDEOGRAPH-FA12
FA13	cjkcompatibilityideographfa13	CJK COMPATIBILITY IDEOGRAPH-FA13
FA14	cjkcompatibilityideographfa14	CJK COMPATIBILITY IDEOGRAPH-FA14
FA15	cjkcompatibilityideographfa15	CJK COMPATIBILITY IDEOGRAPH-FA15
FA16	cjkcompatibilityideographfa16	CJK COMPATIBILITY IDEOGRAPH-FA16
FA17	cjkcompatibilityideographfa17	CJK COMPATIBILITY IDEOGRAPH-FA17
FA18	cjkcompatibilityideographfa18	CJK COMPATIBILITY IDEOGRAPH-FA18
FA19	cjkcompatibilityideographfa19	CJK COMPATIBILITY IDEOGRAPH-FA19
FA1A	cjkcompatibilityideographfa1a	CJK COMPATIBILITY IDEOGRAPH-FA1A
FA1B	cjkcompatibilityideographfa1b	CJK COMPATIBILITY IDEOGRAPH-FA1B
FA1C	cjkcompatibilityideographfa1c	CJK COMPATIBILITY IDEOGRAPH-FA1C
FA1D	cjkcompatibilityideographfa1d	CJK COMPATIBILITY IDEOGRAPH-FA1D
FA1E	cjkcompatibilityideographfa1e	CJK COMPATIBILITY IDEOGRAPH-FA1E
FA1F	cjkcompatibilityideographfa1f	CJK COMPATIBILITY IDEOGRAPH-FA1F
FA20	cjkcompatibilityideographfa20	CJK COMPATIBILITY IDEOGRAPH-FA20
FA21	cjkcompatibilityideographfa21	CJK COMPATIBILITY IDEOGRAPH-FA21
FA22	cjkcompatibilityideographfa22	CJK COMPATIBILITY IDEOGRAPH-FA22
FA23	cjkcompatibilityideographfa23	CJK COMPATIBILITY IDEOGRAPH-FA23
FA24	cjkcompatibilityideographfa24	CJK COMPATIBILITY IDEOGRAPH-FA24
FA25	cjkcompatibilityideographfa25	CJK COMPATIBILITY IDEOGRAPH-FA25
FA26	cjkcompatibilityideographfa26	CJK COMPATIBILITY IDEOGRAPH-FA26
FA27	cjkcompatibilityideographfa27	CJK COMPATIBILITY IDEOGRAPH-FA27
FA28	cjkcompatibilityideographfa28	CJK COMPATIBILITY IDEOGRAPH-FA28
FA29	cjkcompatibilityideographfa29	CJK COMPATIBILITY IDEOGRAPH-FA29
FA2A	cjkcompatibilityideographfa2a	CJK COMPATIBILITY IDEOGRAPH-FA2A
FA2B	cjkcompatibilityideographfa2b	CJK COMPATIBILITY IDEOGRAPH-FA2B
FA2C	cjkcompatibilityideographfa2c	CJK COMPATIBILITY IDEOGRAPH-FA2C
FA2D	cjkcompatibilityideographfa2d	CJK COMPATIBILITY IDEOGRAPH-FA2D
FA30	cjkcompatibilityideographfa30	CJK COMPATIBILITY IDEOGRAPH-FA30
FA31	cjkcompatibilityideographfa31	CJK COMPATIBILITY IDEOGRAPH-FA31
FA32	cjkcompatibilityideographfa32	CJK COMPATIBILITY IDEOGRAPH-FA32
FA33	cjkcompatibilityideographfa33	CJK COMPATIBILITY IDEOGRAPH-FA33
FA34	cjkcompatibilityideographfa34	CJK COMPATIBILITY IDEOGRAPH-FA34
