# CJK Compatibility Ideographs Supplement 2F800 - 2FA1F
2F8D9	cjkcompatibilityideograph2f8d9	CJK COMPATIBILITY IDEOGRAPH-2F8D9
2F8DA	cjkcompatibilityideograph2f8da	CJK COMPATIBILITY IDEOGRAPH-2F8DA
2F8DB	cjkcompatibilityideograph2f8db	CJK COMPATIBILITY IDEOGRAPH-2F8DB
2F8DC	cjkcompatibilityideograph2f8dc	CJK COMPATIBILITY IDEOGRAPH-2F8DC
2F8DD	cjkcompatibilityideograph2f8dd	CJK COMPATIBILITY IDEOGRAPH-2F8DD
2F8DE	cjkcompatibilityideograph2f8de	CJK COMPATIBILITY IDEOGRAPH-2F8DE
2F8DF	cjkcompatibilityideograph2f8df	CJK COMPATIBILITY IDEOGRAPH-2F8DF
2F8E0	cjkcompatibilityideograph2f8e0	CJK COMPATIBILITY IDEOGRAPH-2F8E0
2F8E1	cjkcompatibilityideograph2f8e1	CJK COMPATIBILITY IDEOGRAPH-2F8E1
2F8E2	cjkcompatibilityideograph2f8e2	CJK COMPATIBILITY IDEOGRAPH-2F8E2
2F8E3	cjkcompatibilityideograph2f8e3	CJK COMPATIBILITY IDEOGRAPH-2F8E3
2F8E4	cjkcompatibilityideograph2f8e4	CJK COMPATIBILITY IDEOGRAPH-2F8E4
2F8E5	cjkcompatibilityideograph2f8e5	CJK COMPATIBILITY IDEOGRAPH-2F8E5
2F8E6	cjkcompatibilityideograph2f8e6	CJK COMPATIBILITY IDEOGRAPH-2F8E6
2F8E7	cjkcompatibilityideograph2f8e7	CJK COMPATIBILITY IDEOGRAPH-2F8E7
2F8E8	cjkcompatibilityideograph2f8e8	CJK COMPATIBILITY IDEOGRAPH-2F8E8
2F8E9	cjkcompatibilityideograph2f8e9	CJK COMPATIBILITY IDEOGRAPH-2F8E9
2F8EA	cjkcompatibilityideograph2f8ea	CJK COMPATIBILITY IDEOGRAPH-2F8EA
2F8EB	cjkcompatibilityideograph2f8eb	CJK COMPATIBILITY IDEOGRAPH-2F8EB
2F8EC	cjkcompatibilityideograph2f8ec	CJK COMPATIBILITY IDEOGRAPH-2F8EC
2F8ED	cjkcompatibilityideograph2f8ed	CJK COMPATIBILITY IDEOGRAPH-2F8ED
2F8EE	cjkcompatibilityideograph2f8ee	CJK COMPATIBILITY IDEOGRAPH-2F8EE
2F8EF	cjkcompatibilityideograph2f8ef	CJK COMPATIBILITY IDEOGRAPH-2F8EF
2F8F0	cjkcompatibilityideograph2f8f0	CJK COMPATIBILITY IDEOGRAPH-2F8F0
2F8F1	cjkcompatibilityideograph2f8f1	CJK COMPATIBILITY IDEOGRAPH-2F8F1
2F8F2	cjkcompatibilityideograph2f8f2	CJK COMPATIBILITY IDEOGRAPH-2F8F2
2F8F3	cjkcompatibilityideograph2f8f3	CJK COMPATIBILITY IDEOGRAPH-2F8F3
2F8F4	cjkcompatibilityideograph2f8f4	CJK COMPATIBILITY IDEOGRAPH-2F8F4
2F8F5	cjkcompatibilityideograph2f8f5	CJK COMPATIBILITY IDEOGRAPH-2F8F5
2F8F6	cjkcompatibilityideograph2f8f6	CJK COMPATIBILITY IDEOGRAPH-2F8F6
2F8F7	cjkcompatibilityideograph2f8f7	CJK COMPATIBILITY IDEOGRAPH-2F8F7
2F8F8	cjkcompatibilityideograph2f8f8	CJK COMPATIBILITY IDEOGRAPH-2F8F8
2F8F9	cjkcompatibilityideograph2f8f9	CJK COMPATIBILITY IDEOGRAPH-2F8F9
2F8FA	cjkcompatibilityideograph2f8fa	CJK COMPATIBILITY IDEOGRAPH-2F8FA
2F8FB	cjkcompatibilityideograph2f8fb	CJK COMPATIBILITY IDEOGRAPH-2F8FB
2F8FC	cjkcompatibilityideograph2f8fc	CJK COMPATIBILITY IDEOGRAPH-2F8FC
2F8FD	cjkcompatibilityideograph2f8fd	CJK COMPATIBILITY IDEOGRAPH-2F8FD
2F8FE	cjkcompatibilityideograph2f8fe	CJK COMPATIBILITY IDEOGRAPH-2F8FE
2F8FF	cjkcompatibilityideograph2f8ff	CJK COMPATIBILITY IDEOGRAPH-2F8FF
2F900	cjkcompatibilityideograph2f900	CJK COMPATIBILITY IDEOGRAPH-2F900
2F901	cjkcompatibilityideograph2f901	CJK COMPATIBILITY IDEOGRAPH-2F901
2F902	cjkcompatibilityideograph2f902	CJK COMPATIBILITY IDEOGRAPH-2F902
2F903	cjkcompatibilityideograph2f903	CJK COMPATIBILITY IDEOGRAPH-2F903
2F904	cjkcompatibilityideograph2f904	CJK COMPATIBILITY IDEOGRAPH-2F904
2F905	cjkcompatibilityideograph2f905	CJK COMPATIBILITY IDEOGRAPH-2F905
2F906	cjkcompatibilityideograph2f906	CJK COMPATIBILITY IDEOGRAPH-2F906
2F907	cjkcompatibilityideograph2f907	CJK COMPATIBILITY IDEOGRAPH-2F907
2F908	cjkcompatibilityideograph2f908	CJK COMPATIBILITY IDEOGRAPH-2F908
2F909	cjkcompatibilityideograph2f909	CJK COMPATIBILITY IDEOGRAPH-2F909
2F90A	cjkcompatibilityideograph2f90a	CJK COMPATIBILITY IDEOGRAPH-2F90A
2F90B	cjkcompatibilityideograph2f90b	CJK COMPATIBILITY IDEOGRAPH-2F90B
2F90C	cjkcompatibilityideograph2f90c	CJK COMPATIBILITY IDEOGRAPH-2F90C
2F90D	cjkcompatibilityideograph2f90d	CJK COMPATIBILITY IDEOGRAPH-2F90D
2F90E	cjkcompatibilityideograph2f90e	CJK COMPATIBILITY IDEOGRAPH-2F90E
2F90F	cjkcompatibilityideograph2f90f	CJK COMPATIBILITY IDEOGRAPH-2F90F
2F910	cjkcompatibilityideograph2f910	CJK COMPATIBILITY IDEOGRAPH-2F910
2F911	cjkcompatibilityideograph2f911	CJK COMPATIBILITY IDEOGRAPH-2F911
2F912	cjkcompatibilityideograph2f912	CJK COMPATIBILITY IDEOGRAPH-2F912
2F913	cjkcompatibilityideograph2f913	CJK COMPATIBILITY IDEOGRAPH-2F913
2F914	cjkcompatibilityideograph2f914	CJK COMPATIBILITY IDEOGRAPH-2F914
2F915	cjkcompatibilityideograph2f915	CJK COMPATIBILITY IDEOGRAPH-2F915
2F916	cjkcompatibilityideograph2f916	CJK COMPATIBILITY IDEOGRAPH-2F916
2F917	cjkcompatibilityideograph2f917	CJK COMPATIBILITY IDEOGRAPH-2F917
2F918	cjkcompatibilityideograph2f918	CJK COMPATIBILITY IDEOGRAPH-2F918
2F919	cjkcompatibilityideograph2f919	CJK COMPATIBILITY IDEOGRAPH-2F919
2F91A	cjkcompatibilityideograph2f91a	CJK COMPATIBILITY IDEOGRAPH-2F91A
