# Unified Canadian Aboriginal Syllabics 1400 - 167F
1514	canadiansyllabicsshoo	CANADIAN SYLLABICS SHOO
1515	canadiansyllabicssha	CANADIAN SYLLABICS SHA
1516	canadiansyllabicsshaa	CANADIAN SYLLABICS SHAA
1517	canadiansyllabicsshwe	CANADIAN SYLLABICS SHWE
1518	canadiansyllabicswestcreeshwe	CANADIAN SYLLABICS WEST-CREE SHWE
1519	canadiansyllabicsshwi	CANADIAN SYLLABICS SHWI
151A	canadiansyllabicswestcreeshwi	CANADIAN SYLLABICS WEST-CREE SHWI
151B	canadiansyllabicsshwii	CANADIAN SYLLABICS SHWII
151C	canadiansyllabicswestcreeshwii	CANADIAN SYLLABICS WEST-CREE SHWII
151D	canadiansyllabicsshwo	CANADIAN SYLLABICS SHWO
151E	canadiansyllabicswestcreeshwo	CANADIAN SYLLABICS WEST-CREE SHWO
151F	canadiansyllabicsshwoo	CANADIAN SYLLABICS SHWOO
1520	canadiansyllabicswestcreeshwoo	CANADIAN SYLLABICS WEST-CREE SHWOO
1521	canadiansyllabicsshwa	CANADIAN SYLLABICS SHWA
1522	canadiansyllabicswestcreeshwa	CANADIAN SYLLABICS WEST-CREE SHWA
1523	canadiansyllabicsshwaa	CANADIAN SYLLABICS SHWAA
1524	canadiansyllabicswestcreeshwaa	CANADIAN SYLLABICS WEST-CREE SHWAA
1525	canadiansyllabicssh	CANADIAN SYLLABICS SH
1526	canadiansyllabicsye	CANADIAN SYLLABICS YE
1527	canadiansyllabicsyaai	CANADIAN SYLLABICS YAAI
1528	canadiansyllabicsyi	CANADIAN SYLLABICS YI
1529	canadiansyllabicsyii	CANADIAN SYLLABICS YII
152A	canadiansyllabicsyo	CANADIAN SYLLABICS YO
152B	canadiansyllabicsyoo	CANADIAN SYLLABICS YOO
152C	canadiansyllabicsycreeyoo	CANADIAN SYLLABICS Y-CREE YOO
152D	canadiansyllabicsya	CANADIAN SYLLABICS YA
152E	canadiansyllabicsyaa	CANADIAN SYLLABICS YAA
152F	canadiansyllabicsywe	CANADIAN SYLLABICS YWE
1530	canadiansyllabicswestcreeywe	CANADIAN SYLLABICS WEST-CREE YWE
1531	canadiansyllabicsywi	CANADIAN SYLLABICS YWI
1532	canadiansyllabicswestcreeywi	CANADIAN SYLLABICS WEST-CREE YWI
1533	canadiansyllabicsywii	CANADIAN SYLLABICS YWII
1534	canadiansyllabicswestcreeywii	CANADIAN SYLLABICS WEST-CREE YWII
1535	canadiansyllabicsywo	CANADIAN SYLLABICS YWO
1536	canadiansyllabicswestcreeywo	CANADIAN SYLLABICS WEST-CREE YWO
1537	canadiansyllabicsywoo	CANADIAN SYLLABICS YWOO
1538	canadiansyllabicswestcreeywoo	CANADIAN SYLLABICS WEST-CREE YWOO
1539	canadiansyllabicsywa	CANADIAN SYLLABICS YWA
153A	canadiansyllabicswestcreeywa	CANADIAN SYLLABICS WEST-CREE YWA
153B	canadiansyllabicsywaa	CANADIAN SYLLABICS YWAA
153C	canadiansyllabicswestcreeywaa	CANADIAN SYLLABICS WEST-CREE YWAA
153D	canadiansyllabicsnaskapiywaa	CANADIAN SYLLABICS NASKAPI YWAA
153E	canadiansyllabicsy	CANADIAN SYLLABICS Y
153F	canadiansyllabicsbiblecreey	CANADIAN SYLLABICS BIBLE-CREE Y
1540	canadiansyllabicswestcreey	CANADIAN SYLLABICS WEST-CREE Y
1541	canadiansyllabicssayisiyi	CANADIAN SYLLABICS SAYISI YI
