# Miscellaneous Symbols and Pictographs 1F300 - 1F5FF
1F447	whiteDownPointingBackhandIndex	WHITE DOWN POINTING BACKHAND INDEX
1F448	whiteLeftPointingBackhandIndex	WHITE LEFT POINTING BACKHAND INDEX
1F449	whiteRightPointingBackhandIndex	WHITE RIGHT POINTING BACKHAND INDEX
1F44A	fistedHandSign	FISTED HAND SIGN
1F44B	wavingHandSign	WAVING HAND SIGN
1F44C	okHandSign	OK HAND SIGN
1F44D	thumbsUpSign	THUMBS UP SIGN
1F44E	thumbsDownSign	THUMBS DOWN SIGN
1F44F	clappingHandsSign	CLAPPING HANDS SIGN
1F450	openHandsSign	OPEN HANDS SIGN
1F451	crown	CROWN
1F452	womansHat	WOMANS HAT
1F453	eyeglasses	EYEGLASSES
1F454	necktie	NECKTIE
1F455	t-shirt	T-SHIRT
1F456	jeans	JEANS
1F457	dress	DRESS
1F458	kimono	KIMONO
1F459	bikini	BIKINI
1F45A	womansClothes	WOMANS CLOTHES
1F45B	purse	PURSE
1F45C	handbag	HANDBAG
1F45D	pouch	POUCH
1F45E	mansShoe	MANS SHOE
1F45F	athleticShoe	ATHLETIC SHOE
1F460	high-heeledShoe	HIGH-HEELED SHOE
1F461	womansSandal	WOMANS SANDAL
1F462	womansBoots	WOMANS BOOTS
1F463	footprints	FOOTPRINTS
1F464	bustInSilhouette	BUST IN SILHOUETTE
1F465	bustsInSilhouette	BUSTS IN SILHOUETTE
1F466	boy	BOY
1F467	girl	GIRL
1F468	man	MAN
1F469	woman	WOMAN
1F46A	family	FAMILY
1F46B	manAndWomanHoldingHands	MAN AND WOMAN HOLDING HANDS
1F46C	twoMenHoldingHands	TWO MEN HOLDING HANDS
1F46D	twoWomenHoldingHands	TWO WOMEN HOLDING HANDS
1F46E	policeOfficer	POLICE OFFICER
1F46F	womanBunnyEars	WOMAN WITH BUNNY EARS
1F470	brideVeil	BRIDE WITH VEIL
1F471	personBlondHair	PERSON WITH BLOND HAIR
1F472	manGuaPiMao	MAN WITH GUA PI MAO
1F473	manTurban	MAN WITH TURBAN
1F474	olderMan	OLDER MAN
1F475	olderWoman	OLDER WOMAN
1F476	misc:baby	BABY
1F477	constructionWorker	CONSTRUCTION WORKER
1F478	princess	PRINCESS
1F479	japaneseOgre	JAPANESE OGRE
1F47A	japaneseGoblin	JAPANESE GOBLIN
1F47B	ghost	GHOST
1F47C	babyAngel	BABY ANGEL
1F47D	extraterrestrialAlien	EXTRATERRESTRIAL ALIEN
1F47E	alienMonster	ALIEN MONSTER
1F47F	imp	IMP
1F480	skull	SKULL
1F481	inmationDeskPerson	INFORMATION DESK PERSON
1F482	guardsman	GUARDSMAN
1F483	dancer	DANCER
1F484	lipstick	LIPSTICK
1F485	nailPolish	NAIL POLISH
1F486	faceMassage	FACE MASSAGE
1F487	haircut	HAIRCUT
1F488	barberPole	BARBER POLE
1F489	syringe	SYRINGE
1F48A	pill	PILL
1F48B	kissMark	KISS MARK
1F48C	loveLetter	LOVE LETTER
1F48D	misc:ring	RING
1F48E	gemStone	GEM STONE
1F48F	kiss	KISS
1F490	bouquet	BOUQUET
1F491	coupleHeart	COUPLE WITH HEART
1F492	wedding	WEDDING
1F493	beatingHeart	BEATING HEART
1F494	brokenHeart	BROKEN HEART
1F495	twoHearts	TWO HEARTS
1F496	sparklingHeart	SPARKLING HEART
1F497	growingHeart	GROWING HEART
1F498	heartArrow	HEART WITH ARROW
1F499	blueHeart	BLUE HEART
1F49A	greenHeart	GREEN HEART
1F49B	yellowHeart	YELLOW HEART
1F49C	purpleHeart	PURPLE HEART
1F49D	heartRibbon	HEART WITH RIBBON
1F49E	revolvingHearts	REVOLVING HEARTS
1F49F	heartDecoration	HEART DECORATION
1F4A0	diamondShapeADotInside	DIAMOND SHAPE WITH A DOT INSIDE
1F4A1	electricLightBulb	ELECTRIC LIGHT BULB
